Timestamp,School Name,pumpkin_diameter,pumpkin_thickness,pumpkin_height,rubber-band_length,rubber-band_width,pumpkin_circumference,rubber-band_number,"If you video taped your explosion and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Teacher Name / Twitter Name,Comments,"If you video taped your destruction and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Teacher Name or Twitter Name,Make an Estimate!!!! - How many rubber bands will make this pumpkin explode?,"If you video taped your destruction and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Watch Act 3 to see the pumpkin explode! [watch only after estimating]
10/25/2014 17:24:18,Mr. Orr's kids,20.96,4,17.78,8.89,,77.47,177,,,,,Mr. Orr,,,
10/27/2014 13:35:55,CKSS,25.3,4,29.5,8.89,,79.5,468,,,"Rubber bands are 3.5"" and 1/8"" thick.",,@KelvinCoates,205,,
10/27/2014 13:47:24,CKSS,19.7,2.5,16,6.35,,62,843,,,"Rubber bands were 2.5"" and 1/16"" thick.  This pumpkin looked like a sphere.",,@KelvinCoates,206,,
10/27/2014 13:49:13,CKSS,25.1,3.5,31,8.89,,79,312,,,"The rubber bands were 3.5"" and 1/8"" thick",,Justin Van Horn,300,,
10/29/2014 14:39:25,Manitoulin Secondary School,30,,28,9,,83,256,,,,,M. Brown,421,,
10/29/2014 14:46:12,Manitoulin Secondary School,27.9,4.46,27,8.89,,87.5,305,,,"Not all elastics seemed to be uniform in ""stretchiness""... many  broke.",,T Balfe,300,,
10/29/2014 14:48:35,,20,4,28,8.89,,60,572,,,Bands were spread out over a 10 cm span,,,,,
10/29/2014 14:50:26,Manitoulin Secondary School,25,3.5,23.5,8.89,,75,182,,,Pumpkin was frost bitten.,,Mr. Balfe,,,
10/29/2014 14:50:36,NLSS,22.6,4,27,8.89,,71,209,,,,,Math Department,170,,
10/29/2014 20:19:05,Dave's Family,18.7,2.5,19.7,7.62,,58.7,194,,,Great fun. Thanks for doing this. Did it with the family today. Will do it in class tomorrow.,,@davelanovaz,,,
10/30/2014 13:41:56,Manitoulin Secondary School,25,3,31,8.89,,72,226,,,,,@MZegil,247,,
10/30/2014 14:00:51,Manitoulin Secondary ,25,3,25,8.89,,86,328,,,"Our elastics weren't going across the ""equator"" of the pumpkin.... they ended up being higher on the pumpkin.",http://youtu.be/--NKJZI1Lj4,@HTheijsmeijer,400,,
10/30/2014 14:36:57,NLSS,26,3,29.5,8.89,,83,158,,,,,Mrs. Sanders,222,,
10/30/2014 14:37:37,NLSS,26,4.5,26,8.89,,79,271,,,,,Mr. Vandenberg,261,,
10/30/2014 14:38:32,NLSS,24.2,3.5,27,8.89,,76,246,,,,,Mr. McBain,235,,
10/30/2014 14:39:15,NLSS,24.5,4,24,8.89,,77,216,,,,,Mrs. McBain,201,,
10/30/2014 15:16:08,Manitoulin Secondary (grade 11 physics),34,3,30,8.89,,107,226,,,"None of our explosions were particularly spectacular in terms of the tops popping off. We had large pumpkins, though. I postulate that the smaller the pumpkin, the bigger the explosion!",youtu.be/4mxeuYyolgc,@HTheijsmeijer,350,,
10/31/2014 9:12:44,SCITS,30.25,5,30,19,,95,391,,,,,MrJeffreyLKDSB,,,
10/31/2014 9:13:25,Evans Middle,26.67,3.81,25.4,3.5 x 0.25 inches,,76.2,180,,,,,Moore,,,
